,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-12-22 00:00:00,-0.0,M,-2147483648,,UBS,12 month,5,buy 2,12.58,0.0
2005-11-28 00:00:00,-0.0,R,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,1.0
2005-11-10 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,10.92,2.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,1,underperform,10.92,3.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,3,neutral,10.92,4.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,11.39,5.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,5,outperform,10.44,6.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,8.78,7.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/positive,10.92,8.0
2005-11-02 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/Attractive,11.15,9.0
2005-07-06 00:00:00,-0.0,N,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,10.0
2005-05-12 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,11.0
2004-06-25 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,12.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,Not Provided,3,hold,12.1,13.0
2006-01-31 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,14.0
2006-01-30 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,11.87,15.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,13.05,16.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,17.0
2006-01-19 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0,18.0
2006-01-10 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/positive,11.87,19.0
2006-01-09 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,13.53,20.0
2006-01-04 00:00:00,-0.0,U,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,14.48,21.0
2005-12-22 00:00:00,-0.0,M,-2147483648,,UBS,12 month,5,buy 2,12.58,22.0
2005-11-03 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,3,neutral,10.92,23.0
2005-07-06 00:00:00,-0.0,N,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,24.0
2005-05-12 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,25.0
2004-06-25 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,26.0
2006-02-23 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,14.24,27.0
2006-02-17 00:00:00,-0.0,D,-2147483648,,Credit Suisse,12 month,1,underperform,12.58,28.0
2006-02-16 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,13.76,29.0
2006-02-16 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,30.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,UBS,12 month,5,buy 2,14.48,31.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,11.87,32.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,Not Provided,3,hold,12.1,33.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,34.0
2006-01-19 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0,35.0
2006-01-10 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/positive,11.87,36.0
2006-01-04 00:00:00,-0.0,U,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,14.48,37.0
2005-07-06 00:00:00,-0.0,N,-2147483648,,Goldman Sachs,Not Provided,3,in-line,-0.0,38.0
2005-05-12 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,39.0
2004-06-25 00:00:00,-0.0,N,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,40.0
2006-03-28 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0,41.0
2006-03-28 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,42.0
2006-03-15 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/positive,12.34,43.0
2006-02-23 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,14.24,44.0
2006-02-17 00:00:00,-0.0,D,-2147483648,,Credit Suisse,12 month,1,underperform,12.58,45.0
2006-02-16 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,13.76,46.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,UBS,12 month,5,buy 2,14.48,47.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,11.87,48.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,Not Provided,3,hold,12.1,49.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,50.0
