,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,0.0
2005-12-05 00:00:00,-0.0,U,-2147483648,,Needham & Co,Not Provided,5,buy,33.0,1.0
2005-11-04 00:00:00,-0.0,R,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,35.5,2.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,34.0,3.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,4.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,32.0,5.0
2005-10-25 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Cautious,31.0,6.0
2005-10-24 00:00:00,-0.0,R,-2147483648,,D.A. Davidson & Co,12 month,5,buy,37.5,7.0
2005-06-01 00:00:00,-0.0,M,-2147483648,,Kansas City Capital Associates,Not Provided,5,buy,-0.0,8.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0,9.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,12 month,1,Underwt/Cautious,32.5,10.0
2006-01-18 00:00:00,-0.0,R,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,35.5,11.0
2006-01-04 00:00:00,-0.0,N,-2147483648,,Soleil Securities,Not Provided,3,hold,32.0,12.0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,13.0
2005-12-05 00:00:00,-0.0,U,-2147483648,,Needham & Co,Not Provided,5,buy,33.0,14.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,34.0,15.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,32.0,16.0
2005-10-24 00:00:00,-0.0,R,-2147483648,,D.A. Davidson & Co,12 month,5,buy,37.5,17.0
2005-06-01 00:00:00,-0.0,M,-2147483648,,Kansas City Capital Associates,Not Provided,5,buy,-0.0,18.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,37.0,19.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Needham & Co,Not Provided,5,buy,37.0,20.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,40.0,21.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0,22.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,33.0,23.0
2006-02-22 00:00:00,-0.0,R,-2147483648,,D.A. Davidson & Co,12 month,5,buy,40.0,24.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,12 month,1,Underwt/Cautious,32.5,25.0
2006-01-04 00:00:00,-0.0,N,-2147483648,,Soleil Securities,Not Provided,3,hold,32.0,26.0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,27.0
2005-06-01 00:00:00,-0.0,M,-2147483648,,Kansas City Capital Associates,Not Provided,5,buy,-0.0,28.0
2006-03-31 00:00:00,-0.0,D,-2147483648,,Needham & Co,Not Provided,3,hold,-0.0,29.0
2006-03-09 00:00:00,-0.0,M,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,40.5,30.0
2006-03-02 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,40.0,31.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0,32.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,33.0,33.0
2006-02-22 00:00:00,-0.0,R,-2147483648,,D.A. Davidson & Co,12 month,5,buy,40.0,34.0
2006-01-26 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,12 month,1,Underwt/Cautious,32.5,35.0
2006-01-04 00:00:00,-0.0,N,-2147483648,,Soleil Securities,Not Provided,3,hold,32.0,36.0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,37.0
2005-06-01 00:00:00,-0.0,M,-2147483648,,Kansas City Capital Associates,Not Provided,5,buy,-0.0,38.0
2006-05-01 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,1,Underwt/Cautious,34.5,39.0
2006-05-01 00:00:00,-0.0,M,-2147483648,,D.A. Davidson & Co,18 month,3,neutral,42.5,40.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0,41.0
2006-03-31 00:00:00,-0.0,D,-2147483648,,Needham & Co,Not Provided,3,hold,-0.0,42.0
2006-03-09 00:00:00,-0.0,M,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,40.5,43.0
2006-03-02 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,40.0,44.0
2006-02-23 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,33.0,45.0
2006-01-04 00:00:00,-0.0,N,-2147483648,,Soleil Securities,Not Provided,3,hold,32.0,46.0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,47.0
2005-06-01 00:00:00,-0.0,M,-2147483648,,Kansas City Capital Associates,Not Provided,5,buy,-0.0,48.0
2006-05-26 00:00:00,-0.0,M,-2147483648,,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0,49.0
2006-05-23 00:00:00,-0.0,N,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,50.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,BMO Capital Markets,Not Provided,5,outperform,54.0,51.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,1,Underwt/Cautious,42.5,52.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,D.A. Davidson & Co,18 month,3,neutral,53.5,53.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Needham & Co,Not Provided,3,hold,-0.0,54.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Dougherty & Company LLC,12 month,5,buy,57.5,55.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,3,hold,47.5,56.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,3,equalwt/neutral,50.0,57.0
2005-12-12 00:00:00,-0.0,D,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,58.0
