,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-12-01 00:00:00,-0.0,N,-2147483648,,Stifel,Not Provided,3,hold,-0.0,0.0
2005-11-16 00:00:00,-0.0,M,-2147483648,,"Keefe, Bruyette & Woods",Not Provided,5,outperform,43.0,1.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,40.0,2.0
2005-11-08 00:00:00,-0.0,M,-2147483648,,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,37.0,3.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,3,neutral,37.5,4.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,FBR Capital Markets,Not Provided,1,underperform,31.0,5.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,"Sandler O'Neill & Partners, LP",12 month,1,sell,33.0,6.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Williams Capital,Not Provided,3,hold,39.0,7.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Dowling & Partners,Not Provided,3,neutral,-0.0,8.0
2005-09-27 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,9.0
2005-08-04 00:00:00,-0.0,U,-2147483648,,Cochran Caronia Waller,Not Provided,3,market perform,-0.0,10.0
2005-05-07 00:00:00,-0.0,M,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,11.0
2005-02-25 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,12.0
2006-01-13 00:00:00,-0.0,M,-2147483648,,FBR Capital Markets,Not Provided,1,underperform,33.0,13.0
2006-01-13 00:00:00,-0.0,M,-2147483648,,Williams Capital,Not Provided,3,hold,39.0,14.0
2006-01-12 00:00:00,-0.0,U,-2147483648,,"Sandler O'Neill & Partners, LP",12 month,3,hold,38.0,15.0
2006-01-03 00:00:00,-0.0,M,-2147483648,,"Keefe, Bruyette & Woods",Not Provided,5,outperform,43.0,16.0
2005-12-01 00:00:00,-0.0,N,-2147483648,,Stifel,Not Provided,3,hold,-0.0,17.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,40.0,18.0
2005-11-08 00:00:00,-0.0,M,-2147483648,,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,37.0,19.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,3,neutral,37.5,20.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Dowling & Partners,Not Provided,3,neutral,-0.0,21.0
2005-09-27 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,22.0
2005-08-04 00:00:00,-0.0,U,-2147483648,,Cochran Caronia Waller,Not Provided,3,market perform,-0.0,23.0
2005-05-07 00:00:00,-0.0,M,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,24.0
2005-02-25 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,25.0
2006-02-28 00:00:00,-0.0,M,-2147483648,,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,44.0,26.0
2006-02-14 00:00:00,-0.0,M,-2147483648,,Williams Capital,Not Provided,3,hold,39.0,27.0
2006-02-13 00:00:00,-0.0,M,-2147483648,,FBR Capital Markets,Not Provided,1,underperform,37.0,28.0
2006-02-13 00:00:00,-0.0,R,-2147483648,,Cochran Caronia Waller,Not Provided,3,market perform,-0.0,29.0
2006-02-13 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,44.0,30.0
2006-02-10 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,3,neutral,40.0,31.0
2006-02-10 00:00:00,-0.0,M,-2147483648,,"Keefe, Bruyette & Woods",Not Provided,5,outperform,44.0,32.0
2006-02-10 00:00:00,-0.0,M,-2147483648,,"Sandler O'Neill & Partners, LP",12 month,3,hold,38.0,33.0
2006-02-10 00:00:00,-0.0,M,-2147483648,,Stifel,Not Provided,3,hold,-0.0,34.0
2005-11-07 00:00:00,-0.0,M,-2147483648,,Dowling & Partners,Not Provided,3,neutral,-0.0,35.0
2005-09-27 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0,36.0
2005-05-07 00:00:00,-0.0,M,-2147483648,,William Blair & Co,Not Provided,3,market perform,-0.0,37.0
2005-02-25 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,38.0
2006-02-28 00:00:00,-0.0,M,-2147483648,,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,44.0,39.0
2006-02-14 00:00:00,-0.0,M,-2147483648,,Williams Capital,Not Provided,3,hold,39.0,40.0
2006-02-13 00:00:00,-0.0,M,-2147483648,,FBR Capital Markets,Not Provided,1,underperform,37.0,41.0
2006-02-13 00:00:00,-0.0,R,-2147483648,,Cochran Caronia Waller,Not Provided,3,market perform,-0.0,42.0
2006-02-13 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,44.0,43.0
