,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2006-01-01 00:00:00,-0.0,M,-2147483648,,Buckingham Research Group,Not Provided,5,strong buy,20.0,0.0
2005-12-22 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,9.21,1.0
2005-12-21 00:00:00,-0.0,U,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/In-Line,0.08,2.0
2005-12-15 00:00:00,-0.0,M,-2147483648,,HSBC,Not Provided,1,underweight,-0.0,3.0
2005-11-21 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0,4.0
2005-11-21 00:00:00,-0.0,N,-2147483648,,MF Global Equities Research,Not Provided,5,buy,9.02,5.0
2005-11-18 00:00:00,-0.0,M,-2147483648,,Teathers,Not Provided,3,hold,-0.0,6.0
2005-10-28 00:00:00,-0.0,M,-2147483648,,Dresdner Kleinwort,Not Provided,3,hold,5.24,7.0
2005-10-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,8.0
2005-07-22 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,3,neutral,6.51,9.0
2005-07-15 00:00:00,-0.0,D,-2147483648,,Numis,Not Provided,3,hold,7.29,10.0
2004-09-10 00:00:00,-0.0,D,-2147483648,,Lehman Brothers,Not Provided,3,equalwt/positive,-0.0,11.0
2004-04-29 00:00:00,-0.0,M,-2147483648,,Charles Stanley Securities,Not Provided,3,hold,-0.0,12.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,11.37,13.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/In-Line,9.02,14.0
2006-01-17 00:00:00,-0.0,M,-2147483648,,CIBC World Markets,Not Provided,3,sector perform,-0.0,15.0
2006-01-06 00:00:00,-0.0,U,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,9.12,16.0
2006-01-01 00:00:00,-0.0,M,-2147483648,,Buckingham Research Group,Not Provided,5,strong buy,20.0,17.0
2005-12-15 00:00:00,-0.0,M,-2147483648,,HSBC,Not Provided,1,underweight,-0.0,18.0
2005-11-21 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0,19.0
2005-11-21 00:00:00,-0.0,N,-2147483648,,MF Global Equities Research,Not Provided,5,buy,9.02,20.0
2005-11-18 00:00:00,-0.0,M,-2147483648,,Teathers,Not Provided,3,hold,-0.0,21.0
2005-10-28 00:00:00,-0.0,M,-2147483648,,Dresdner Kleinwort,Not Provided,3,hold,5.24,22.0
2005-07-22 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,3,neutral,6.51,23.0
2005-07-15 00:00:00,-0.0,D,-2147483648,,Numis,Not Provided,3,hold,7.29,24.0
2004-09-10 00:00:00,-0.0,D,-2147483648,,Lehman Brothers,Not Provided,3,equalwt/positive,-0.0,25.0
2004-04-29 00:00:00,-0.0,M,-2147483648,,Charles Stanley Securities,Not Provided,3,hold,-0.0,26.0
2006-02-23 00:00:00,-0.0,D,-2147483648,,CIBC World Markets,Not Provided,1,sector underperform,-0.0,27.0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,10.67,28.0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Charles Stanley Securities,Not Provided,3,hold,-0.0,29.0
2006-02-08 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/In-Line,10.35,30.0
2006-02-08 00:00:00,-0.0,U,-2147483648,,Lehman Brothers,Not Provided,5,overwt/positive,-0.0,31.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Buckingham Research Group,Not Provided,5,strong buy,27.0,32.0
2006-02-07 00:00:00,-0.0,N,-2147483648,,Altium Capital Ltd,Not Provided,1,sell,6.98,33.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,11.37,34.0
2005-12-15 00:00:00,-0.0,M,-2147483648,,HSBC,Not Provided,1,underweight,-0.0,35.0
2005-11-21 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0,36.0
2005-11-21 00:00:00,-0.0,N,-2147483648,,MF Global Equities Research,Not Provided,5,buy,9.02,37.0
2005-11-18 00:00:00,-0.0,M,-2147483648,,Teathers,Not Provided,3,hold,-0.0,38.0
2005-10-28 00:00:00,-0.0,M,-2147483648,,Dresdner Kleinwort,Not Provided,3,hold,5.24,39.0
2005-07-22 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,3,neutral,6.51,40.0
2005-07-15 00:00:00,-0.0,D,-2147483648,,Numis,Not Provided,3,hold,7.29,41.0
2006-03-22 00:00:00,-0.0,N,-2147483648,,Stifel,Not Provided,3,hold,-0.0,42.0
2006-03-09 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,10.81,43.0
2006-03-07 00:00:00,-0.0,M,-2147483648,,Charles Stanley Securities,Not Provided,3,hold,-0.0,44.0
2006-02-23 00:00:00,-0.0,D,-2147483648,,CIBC World Markets,Not Provided,1,sector underperform,-0.0,45.0
2006-02-08 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,5,Overwt/In-Line,10.35,46.0
2006-02-08 00:00:00,-0.0,U,-2147483648,,Lehman Brothers,Not Provided,5,overwt/positive,-0.0,47.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Buckingham Research Group,Not Provided,5,strong buy,27.0,48.0
2006-02-07 00:00:00,-0.0,N,-2147483648,,Altium Capital Ltd,Not Provided,1,sell,6.98,49.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,11.37,50.0
2005-11-21 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0,51.0
2005-11-21 00:00:00,-0.0,N,-2147483648,,MF Global Equities Research,Not Provided,5,buy,9.02,52.0
2005-11-18 00:00:00,-0.0,M,-2147483648,,Teathers,Not Provided,3,hold,-0.0,53.0
2005-10-28 00:00:00,-0.0,M,-2147483648,,Dresdner Kleinwort,Not Provided,3,hold,5.24,54.0
2005-07-22 00:00:00,-0.0,M,-2147483648,,Credit Suisse,Not Provided,3,neutral,6.51,55.0
2005-07-15 00:00:00,-0.0,D,-2147483648,,Numis,Not Provided,3,hold,7.29,56.0
