,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-07,Morgan Stanley,Not Provided,5,Overwt/Attractive,74.88
1,1,1,-0.0,M,-2147483648,2005-12-07,Credit Suisse,12 month,3,neutral,70.72
2,2,2,-0.0,M,-2147483648,2005-12-07,FBR Capital Markets,12 month,5,outperform,77.37
3,3,3,-0.0,M,-2147483648,2005-11-09,Oppenheimer & Co,Not Provided,5,buy,-0.0
4,4,4,-0.0,U,-2147483648,2005-11-07,BMO Capital Markets,12 month,5,outperform,74.88
5,5,5,-0.0,M,-2147483648,2005-11-07,Barclays,Not Provided,5,overwt/positive,77.37
6,6,6,-0.0,N,-2147483648,2005-10-19,Cowen,Not Provided,3,hold,-0.0
7,7,7,-0.0,M,-2147483648,2005-09-08,EVA Dimensions,Not Provided,5,strong buy,-0.0
8,8,8,-0.0,U,-2147483648,2005-08-12,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
9,9,9,-0.0,D,-2147483648,2005-08-11,Argus Research Corp,Not Provided,1,sell,-0.0
10,10,10,-0.0,N,-2147483648,2005-08-05,Natixis Securities Americas LLC,Not Provided,-2147483648,no rating system,-0.0
11,11,11,-0.0,D,-2147483648,2005-01-07,J.P. Morgan,Not Provided,1,underweight,-0.0
12,12,12,-0.0,D,-2147483648,2004-12-07,Goldman Sachs,Not Provided,3,in-line,-0.0
13,13,13,-0.0,M,-2147483648,2006-01-19,Morgan Stanley,Not Provided,5,Overwt/Attractive,79.04
14,14,14,-0.0,M,-2147483648,2006-01-19,EVA Dimensions,Not Provided,5,strong buy,-0.0
15,15,15,-0.0,M,-2147483648,2005-12-07,Credit Suisse,12 month,3,neutral,70.72
16,16,16,-0.0,M,-2147483648,2005-12-07,FBR Capital Markets,12 month,5,outperform,77.37
17,17,17,-0.0,M,-2147483648,2005-11-09,Oppenheimer & Co,Not Provided,5,buy,-0.0
18,18,18,-0.0,U,-2147483648,2005-11-07,BMO Capital Markets,12 month,5,outperform,74.88
19,19,19,-0.0,M,-2147483648,2005-11-07,Barclays,Not Provided,5,overwt/positive,77.37
20,20,20,-0.0,N,-2147483648,2005-10-19,Cowen,Not Provided,3,hold,-0.0
21,21,21,-0.0,U,-2147483648,2005-08-12,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
22,22,22,-0.0,D,-2147483648,2005-08-11,Argus Research Corp,Not Provided,1,sell,-0.0
23,23,23,-0.0,N,-2147483648,2005-08-05,Natixis Securities Americas LLC,Not Provided,-2147483648,no rating system,-0.0
24,24,24,-0.0,D,-2147483648,2005-01-07,J.P. Morgan,Not Provided,1,underweight,-0.0
25,25,25,-0.0,D,-2147483648,2004-12-07,Goldman Sachs,Not Provided,3,in-line,-0.0
26,26,26,-0.0,U,-2147483648,2006-02-24,Bear Stearns & Co,Not Provided,5,outperform,79.04
27,27,27,-0.0,M,-2147483648,2006-02-08,Oppenheimer & Co,Not Provided,5,buy,-0.0
28,28,28,-0.0,M,-2147483648,2006-02-03,BMO Capital Markets,12 month,5,outperform,83.2
29,29,29,-0.0,M,-2147483648,2006-02-03,Credit Suisse,12 month,3,neutral,74.88
30,30,30,-0.0,M,-2147483648,2006-02-03,FBR Capital Markets,12 month,5,outperform,77.37
31,31,31,-0.0,M,-2147483648,2006-01-19,Morgan Stanley,Not Provided,5,Overwt/Attractive,79.04
32,32,32,-0.0,M,-2147483648,2006-01-19,EVA Dimensions,Not Provided,5,strong buy,-0.0
33,33,33,-0.0,M,-2147483648,2005-11-07,Barclays,Not Provided,5,overwt/positive,77.37
34,34,34,-0.0,N,-2147483648,2005-10-19,Cowen,Not Provided,3,hold,-0.0
35,35,35,-0.0,D,-2147483648,2005-08-11,Argus Research Corp,Not Provided,1,sell,-0.0
36,36,36,-0.0,D,-2147483648,2005-01-07,J.P. Morgan,Not Provided,1,underweight,-0.0
37,37,37,-0.0,D,-2147483648,2004-12-07,Goldman Sachs,Not Provided,3,in-line,-0.0
38,38,38,-0.0,M,-2147483648,2006-03-16,Credit Suisse,12 month,3,neutral,70.72
39,39,39,-0.0,U,-2147483648,2006-02-24,Bear Stearns & Co,Not Provided,5,outperform,79.04
40,40,40,-0.0,M,-2147483648,2006-02-08,Oppenheimer & Co,Not Provided,5,buy,-0.0
41,41,41,-0.0,M,-2147483648,2006-02-03,BMO Capital Markets,12 month,5,outperform,83.2
42,42,42,-0.0,M,-2147483648,2006-02-03,FBR Capital Markets,12 month,5,outperform,77.37
43,43,43,-0.0,M,-2147483648,2006-01-19,Morgan Stanley,Not Provided,5,Overwt/Attractive,79.04
44,44,44,-0.0,M,-2147483648,2006-01-19,EVA Dimensions,Not Provided,5,strong buy,-0.0
45,45,45,-0.0,M,-2147483648,2005-11-07,Barclays,Not Provided,5,overwt/positive,77.37
46,46,46,-0.0,N,-2147483648,2005-10-19,Cowen,Not Provided,3,hold,-0.0
