,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,N,-2147483648,2006-05-31,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
1,1,1,-0.0,N,-2147483648,2006-05-31,CIBC World Markets,18 month,5,sector outperform,50.0
2,2,2,-0.0,N,-2147483648,2006-05-26,RBC Capital Markets,Not Provided,3,sector perform,43.0
3,3,3,-0.0,N,-2147483648,2006-05-19,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0
4,4,4,-0.0,N,-2147483648,2006-05-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
5,5,5,-0.0,N,-2147483648,2006-05-18,Barclays,Not Provided,3,equalwt/neutral,55.0
6,6,6,-0.0,N,-2147483648,2006-05-11,Soleil Securities,Not Provided,5,buy,54.0
7,7,7,-0.0,M,-2147483648,2006-06-26,Goldman Sachs,Not Provided,3,in-line/neutral,45.0
8,8,8,-0.0,N,-2147483648,2006-06-16,Bear Stearns & Co,Not Provided,5,outperform,46.0
9,9,9,-0.0,N,-2147483648,2006-06-05,J.P. Morgan,Not Provided,1,underweight,-0.0
10,10,10,-0.0,N,-2147483648,2006-05-31,CIBC World Markets,18 month,5,sector outperform,50.0
11,11,11,-0.0,N,-2147483648,2006-05-26,RBC Capital Markets,Not Provided,3,sector perform,43.0
12,12,12,-0.0,N,-2147483648,2006-05-19,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0
13,13,13,-0.0,N,-2147483648,2006-05-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
14,14,14,-0.0,N,-2147483648,2006-05-18,Barclays,Not Provided,3,equalwt/neutral,55.0
15,15,15,-0.0,N,-2147483648,2006-05-11,Soleil Securities,Not Provided,5,buy,54.0
16,16,16,-0.0,M,-2147483648,2006-07-31,J.P. Morgan,Not Provided,3,neutral,-0.0
17,17,17,-0.0,U,-2147483648,2006-07-28,Morgan Stanley,12 month,5,Overwt/Cautious,53.0
18,18,18,-0.0,M,-2147483648,2006-07-28,Goldman Sachs,Not Provided,3,in-line/neutral,48.0
19,19,19,-0.0,M,-2147483648,2006-07-28,RBC Capital Markets,Not Provided,3,sector perform,46.0
20,20,20,-0.0,D,-2147483648,2006-07-28,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
21,21,21,-0.0,M,-2147483648,2006-07-28,Raymond James,Not Provided,3,market perform,-0.0
22,22,22,-0.0,N,-2147483648,2006-05-31,CIBC World Markets,18 month,5,sector outperform,50.0
23,23,23,-0.0,N,-2147483648,2006-05-19,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
24,24,24,-0.0,N,-2147483648,2006-05-18,Barclays,Not Provided,3,equalwt/neutral,55.0
