,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2015-01-29,BMO Capital Markets,Not Provided,5,outperform,78.0,0.0
1,1,-0.0,M,-2147483648,2015-01-29,Brean Capital LLC,12 month,5,buy,85.0,1.0
2,2,-0.0,M,-2147483648,2015-01-29,D.A. Davidson & Co,Not Provided,3,neutral,70.0,2.0
3,3,-0.0,M,-2147483648,2015-01-29,Needham & Co,Not Provided,3,hold,-0.0,3.0
4,4,-0.0,M,-2147483648,2015-01-29,Stephens Inc,12 month,5,overweight,85.0,4.0
5,5,-0.0,M,-2147483648,2015-01-29,Canaccord Genuity,12 month,5,buy,81.0,5.0
6,6,-0.0,M,-2147483648,2015-01-29,Oppenheimer & Co,Not Provided,3,market perform,-0.0,6.0
7,7,-0.0,M,-2147483648,2015-01-29,Craig-Hallum Capital Group LLC,12 month,5,buy,84.0,7.0
8,8,-0.0,M,-2147483648,2015-01-29,MKM Partners,12 month,5,buy,87.0,8.0
9,9,-0.0,U,-2147483648,2015-01-29,Northland Securities Inc,12 month,5,outperform,82.5,9.0
10,10,-0.0,M,-2147483648,2015-01-29,Barclays,Not Provided,3,equalweight,65.0,10.0
11,11,-0.0,M,-2147483648,2015-01-28,Pacific Crest Securities,12 month,5,outperform,80.0,11.0
12,12,-0.0,M,-2147483648,2015-01-28,Raymond James,12 month,5,strong buy,86.0,12.0
13,13,-0.0,M,-2147483648,2015-01-28,Sterne Agee CRT,12 month,5,buy,78.0,13.0
14,14,-0.0,N,-2147483648,2015-01-28,Ascendiant Capital Markets,12 month,5,buy,86.0,14.0
15,15,-0.0,M,-2147483648,2015-01-06,EVA Dimensions,Not Provided,1,underweight,-0.0,15.0
16,16,-0.0,M,-2147483648,2015-02-27,Brean Capital LLC,12 month,5,buy,85.0,16.0
17,17,-0.0,M,-2147483648,2015-02-24,MKM Partners,12 month,5,buy,87.0,17.0
18,18,-0.0,M,-2147483648,2015-02-23,Pacific Crest Securities,Not Provided,5,outperform,80.0,18.0
19,19,-0.0,U,-2147483648,2015-02-06,EVA Dimensions,Not Provided,3,hold,-0.0,19.0
20,20,-0.0,M,-2147483648,2015-01-29,BMO Capital Markets,Not Provided,5,outperform,78.0,20.0
21,21,-0.0,M,-2147483648,2015-01-29,D.A. Davidson & Co,Not Provided,3,neutral,70.0,21.0
22,22,-0.0,M,-2147483648,2015-01-29,Needham & Co,Not Provided,3,hold,-0.0,22.0
23,23,-0.0,M,-2147483648,2015-01-29,Stephens Inc,12 month,5,overweight,85.0,23.0
24,24,-0.0,M,-2147483648,2015-01-29,Canaccord Genuity,12 month,5,buy,81.0,24.0
25,25,-0.0,M,-2147483648,2015-01-29,Oppenheimer & Co,Not Provided,3,market perform,-0.0,25.0
26,26,-0.0,M,-2147483648,2015-01-29,Craig-Hallum Capital Group LLC,12 month,5,buy,84.0,26.0
27,27,-0.0,U,-2147483648,2015-01-29,Northland Securities Inc,12 month,5,outperform,82.5,27.0
28,28,-0.0,M,-2147483648,2015-01-29,Barclays,Not Provided,3,equalweight,65.0,28.0
29,29,-0.0,M,-2147483648,2015-01-28,Raymond James,12 month,5,strong buy,86.0,29.0
30,30,-0.0,M,-2147483648,2015-01-28,Sterne Agee CRT,12 month,5,buy,78.0,30.0
31,31,-0.0,N,-2147483648,2015-01-28,Ascendiant Capital Markets,12 month,5,buy,86.0,31.0
32,32,-0.0,M,-2147483648,2015-03-30,Raymond James,Not Provided,5,strong buy,94.0,32.0
33,33,-0.0,M,-2147483648,2015-03-25,BMO Capital Markets,Not Provided,5,outperform,95.0,33.0
34,34,-0.0,M,-2147483648,2015-03-23,Stephens Inc,12 month,5,overweight,95.0,34.0
