,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-29,Morgan Stanley,12 month,3,Equalwt/In-Line,37.0
1,1,1,-0.0,M,-2147483648,2005-12-27,Ladenburg Thalmann & Co,Not Provided,5,buy,36.0
2,2,2,-0.0,M,-2147483648,2005-12-23,Lehman Brothers,Not Provided,5,overwt/positive,36.0
3,3,3,-0.0,M,-2147483648,2005-12-23,RBC Capital Markets,Not Provided,3,sector perform,32.0
4,4,4,-0.0,M,-2147483648,2005-12-20,Ryan Beck & Co,Not Provided,3,market perform,34.0
5,5,5,-0.0,N,-2147483648,2005-12-19,J.P. Morgan,Not Provided,3,neutral,-0.0
6,6,6,-0.0,M,-2147483648,2005-12-08,"Sandler O'Neill & Partners, LP",12 month,3,hold,35.0
7,7,7,-0.0,M,-2147483648,2005-11-29,Piper Jaffray,Not Provided,1,underperform,32.0
8,8,8,-0.0,D,-2147483648,2005-11-21,Janney Montgomery Scott LLC,12 month,3,neutral,34.0
9,9,9,-0.0,M,-2147483648,2005-11-07,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
10,10,10,-0.0,M,-2147483648,2005-11-07,UBS,12 month,3,neutral 2,34.0
11,11,11,-0.0,M,-2147483648,2005-10-26,Bear Stearns & Co,Not Provided,5,outperform,38.0
12,12,12,-0.0,M,-2147483648,2005-10-19,"Keefe, Bruyette & Woods",Not Provided,5,outperform,36.0
13,13,13,-0.0,M,-2147483648,2005-10-19,Prudential Equity Group Inc,Not Provided,1,underweight,28.0
14,14,14,-0.0,M,-2147483648,2005-10-19,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,3,in-line,-0.0
15,15,15,-0.0,M,-2147483648,2005-10-13,Buckingham Research Group,Not Provided,5,strong buy,-0.0
16,16,16,-0.0,N,-2147483648,2005-08-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
17,17,17,-0.0,U,-2147483648,2004-10-21,Argus Research Corp,Not Provided,5,buy,-0.0
18,18,18,-0.0,M,-2147483648,2006-02-01,Bear Stearns & Co,Not Provided,5,outperform,43.0
19,19,19,-0.0,M,-2147483648,2006-01-31,RBC Capital Markets,Not Provided,3,sector perform,32.0
20,20,20,-0.0,M,-2147483648,2006-01-31,"Keefe, Bruyette & Woods",Not Provided,5,outperform,39.0
21,21,21,-0.0,M,-2147483648,2006-01-31,Ladenburg Thalmann & Co,Not Provided,5,buy,43.0
22,22,22,-0.0,M,-2147483648,2006-01-31,"Sandler O'Neill & Partners, LP",12 month,3,hold,35.0
23,23,23,-0.0,M,-2147483648,2006-01-31,Prudential Equity Group Inc,Not Provided,1,underweight,28.0
24,24,24,-0.0,U,-2147483648,2006-01-20,Morgan Stanley,12 month,5,Overwt/In-Line,40.0
25,25,25,-0.0,M,-2147483648,2006-01-19,Lehman Brothers,Not Provided,5,overwt/positive,39.0
26,26,26,-0.0,M,-2147483648,2006-01-19,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
27,27,27,-0.0,M,-2147483648,2006-01-19,Janney Montgomery Scott LLC,12 month,3,neutral,37.0
28,28,28,-0.0,M,-2147483648,2006-01-19,Buckingham Research Group,Not Provided,5,strong buy,40.0
29,29,29,-0.0,M,-2147483648,2006-01-18,Ryan Beck & Co,Not Provided,3,market perform,36.0
30,30,30,-0.0,M,-2147483648,2006-01-05,Piper Jaffray,Not Provided,1,underperform,32.0
31,31,31,-0.0,N,-2147483648,2005-12-19,J.P. Morgan,Not Provided,3,neutral,-0.0
