,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,N,-2147483648,2005-12-21,FBR Capital Markets,Not Provided,3,market perform,43.0
1,1,1,-0.0,D,-2147483648,2005-11-28,Needham & Co,Not Provided,3,hold,48.0
2,2,2,-0.0,M,-2147483648,2005-11-28,CIBC World Markets,Not Provided,3,sector perform,-0.0
3,3,3,-0.0,D,-2147483648,2005-11-21,Kaufman Bros,12 month,3,hold,43.0
4,4,4,-0.0,D,-2147483648,2005-11-21,Ferris Baker Watts,Not Provided,3,neutral,-0.0
5,5,5,-0.0,M,-2147483648,2005-11-21,Thomas Weisel Partners,Not Provided,-2147483648,not rated,-0.0
6,6,6,-0.0,D,-2147483648,2005-11-21,Oppenheimer & Co,Not Provided,3,neutral,-0.0
7,7,7,-0.0,D,-2147483648,2005-11-18,Brean Capital LLC,Not Provided,1,sell,-0.0
8,8,8,-0.0,D,-2147483648,2005-11-18,UBS,Not Provided,3,neutral 2,43.0
9,9,9,-0.0,D,-2147483648,2005-11-18,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
10,10,10,-0.0,N,-2147483648,2005-11-18,Oscar Gruss & Son Inc,12 month,3,hold,47.0
11,11,11,-0.0,M,-2147483648,2005-11-03,Howe Barnes Hoefer & Arnett Inc,12 month,5,strong buy,42.5
12,12,12,-0.0,M,-2147483648,2005-10-31,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
13,13,13,-0.0,M,-2147483648,2005-10-21,Raymond James,Not Provided,3,market perform,-0.0
14,14,14,-0.0,M,-2147483648,2005-10-21,Cowen,Not Provided,-2147483648,no rating system,-0.0
15,15,15,-0.0,M,-2147483648,2005-10-21,Gleacher & Company,Not Provided,5,buy,45.0
16,16,16,-0.0,M,-2147483648,2005-08-30,EVA Dimensions,Not Provided,5,buy,-0.0
17,17,17,-0.0,U,-2147483648,2005-07-08,J.P. Morgan,Not Provided,5,overweight,-0.0
18,18,18,-0.0,M,-2147483648,2005-06-30,HSBC,Not Provided,3,neutral,-0.0
19,19,19,-0.0,N,-2147483648,2005-06-03,Redwood Brokerage,Not Provided,5,buy,52.0
20,20,20,-0.0,M,-2147483648,2006-01-23,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
21,21,21,-0.0,M,-2147483648,2006-01-23,Oppenheimer & Co,Not Provided,3,neutral,-0.0
22,22,22,-0.0,M,-2147483648,2006-01-20,Kaufman Bros,12 month,3,hold,43.0
23,23,23,-0.0,M,-2147483648,2006-01-20,Needham & Co,Not Provided,3,hold,-0.0
24,24,24,-0.0,M,-2147483648,2006-01-20,Raymond James,Not Provided,3,market perform,-0.0
25,25,25,-0.0,R,-2147483648,2006-01-20,FBR Capital Markets,Not Provided,3,market perform,43.0
26,26,26,-0.0,M,-2147483648,2006-01-20,Ferris Baker Watts,Not Provided,3,neutral,-0.0
27,27,27,-0.0,M,-2147483648,2006-01-20,Thomas Weisel Partners,Not Provided,-2147483648,not rated,-0.0
28,28,28,-0.0,M,-2147483648,2006-01-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
29,29,29,-0.0,M,-2147483648,2006-01-13,EVA Dimensions,Not Provided,5,buy,-0.0
30,30,30,-0.0,M,-2147483648,2005-11-28,CIBC World Markets,Not Provided,3,sector perform,-0.0
31,31,31,-0.0,D,-2147483648,2005-11-18,Brean Capital LLC,Not Provided,1,sell,-0.0
32,32,32,-0.0,D,-2147483648,2005-11-18,UBS,Not Provided,3,neutral 2,43.0
33,33,33,-0.0,N,-2147483648,2005-11-18,Oscar Gruss & Son Inc,12 month,3,hold,47.0
34,34,34,-0.0,M,-2147483648,2005-11-03,Howe Barnes Hoefer & Arnett Inc,12 month,5,strong buy,42.5
35,35,35,-0.0,M,-2147483648,2005-10-21,Cowen,Not Provided,-2147483648,no rating system,-0.0
36,36,36,-0.0,M,-2147483648,2005-10-21,Gleacher & Company,Not Provided,5,buy,45.0
37,37,37,-0.0,U,-2147483648,2005-07-08,J.P. Morgan,Not Provided,5,overweight,-0.0
38,38,38,-0.0,M,-2147483648,2005-06-30,HSBC,Not Provided,3,neutral,-0.0
39,39,39,-0.0,N,-2147483648,2005-06-03,Redwood Brokerage,Not Provided,5,buy,52.0
