,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,N,-2147483648,2005-12-19,EVA Dimensions,Not Provided,1,strong sell,-0.0
1,1,1,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
2,2,2,-0.0,R,-2147483648,2005-11-16,Redwood Brokerage,Not Provided,5,buy,3.85
3,3,3,-0.0,M,-2147483648,2005-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
4,4,4,-0.0,N,-2147483648,2005-12-19,EVA Dimensions,Not Provided,1,strong sell,-0.0
5,5,5,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
6,6,6,-0.0,R,-2147483648,2005-11-16,Redwood Brokerage,Not Provided,5,buy,3.85
7,7,7,-0.0,M,-2147483648,2005-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
8,8,8,-0.0,M,-2147483648,2006-02-17,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
9,9,9,-0.0,R,-2147483648,2006-02-17,Redwood Brokerage,Not Provided,5,buy,4.22
10,10,10,-0.0,N,-2147483648,2005-12-19,EVA Dimensions,Not Provided,1,strong sell,-0.0
11,11,11,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
12,12,12,-0.0,U,-2147483648,2006-03-07,EVA Dimensions,Not Provided,1,sell,-0.0
13,13,13,-0.0,M,-2147483648,2006-02-17,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
14,14,14,-0.0,R,-2147483648,2006-02-17,Redwood Brokerage,Not Provided,5,buy,4.22
15,15,15,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
16,16,16,-0.0,N,-2147483648,2006-04-11,ThinkEquity LLC,Not Provided,5,buy,3.7
17,17,17,-0.0,U,-2147483648,2006-03-07,EVA Dimensions,Not Provided,1,sell,-0.0
18,18,18,-0.0,M,-2147483648,2006-02-17,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
19,19,19,-0.0,R,-2147483648,2006-02-17,Redwood Brokerage,Not Provided,5,buy,4.22
20,20,20,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
21,21,21,-0.0,R,-2147483648,2006-05-12,Redwood Brokerage,Not Provided,5,buy,3.93
22,22,22,-0.0,M,-2147483648,2006-05-11,Janney Montgomery Scott LLC,12 month,5,buy,3.7
23,23,23,-0.0,M,-2147483648,2006-05-11,ThinkEquity LLC,Not Provided,5,buy,4.15
24,24,24,-0.0,U,-2147483648,2006-03-07,EVA Dimensions,Not Provided,1,sell,-0.0
25,25,25,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
26,26,26,-0.0,M,-2147483648,2006-06-12,EVA Dimensions,Not Provided,1,sell,-0.0
27,27,27,-0.0,M,-2147483648,2006-05-11,Janney Montgomery Scott LLC,12 month,5,buy,3.7
28,28,28,-0.0,M,-2147483648,2006-05-11,ThinkEquity LLC,Not Provided,5,buy,4.15
29,29,29,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
30,30,30,-0.0,M,-2147483648,2006-06-12,EVA Dimensions,Not Provided,1,sell,-0.0
31,31,31,-0.0,M,-2147483648,2006-05-11,Janney Montgomery Scott LLC,12 month,5,buy,3.7
32,32,32,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
33,33,33,-0.0,M,-2147483648,2006-08-30,EVA Dimensions,Not Provided,1,sell,-0.0
34,34,34,-0.0,M,-2147483648,2006-08-04,Janney Montgomery Scott LLC,12 month,5,buy,4.44
35,35,35,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
36,36,36,-0.0,N,-2147483648,2006-09-28,Ryan Beck & Co,Not Provided,5,outperform,3.63
37,37,37,-0.0,M,-2147483648,2006-08-30,EVA Dimensions,Not Provided,1,sell,-0.0
38,38,38,-0.0,M,-2147483648,2006-08-04,Janney Montgomery Scott LLC,12 month,5,buy,4.44
39,39,39,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
40,40,40,-0.0,N,-2147483648,2006-09-28,Ryan Beck & Co,Not Provided,5,outperform,3.63
41,41,41,-0.0,M,-2147483648,2006-08-30,EVA Dimensions,Not Provided,1,sell,-0.0
42,42,42,-0.0,M,-2147483648,2006-08-04,Janney Montgomery Scott LLC,12 month,5,buy,4.44
43,43,43,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
44,44,44,-0.0,N,-2147483648,2006-11-27,Piper Jaffray,Not Provided,5,outperform,3.85
45,45,45,-0.0,M,-2147483648,2006-11-17,Ryan Beck & Co,Not Provided,5,outperform,3.85
46,46,46,-0.0,M,-2147483648,2006-08-30,EVA Dimensions,Not Provided,1,sell,-0.0
47,47,47,-0.0,M,-2147483648,2006-08-04,Janney Montgomery Scott LLC,12 month,5,buy,4.44
48,48,48,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
49,49,49,-0.0,U,-2147483648,2006-12-26,EVA Dimensions,Not Provided,1,sell,-0.0
50,50,50,-0.0,R,-2147483648,2006-12-06,Janney Montgomery Scott LLC,12 month,5,buy,4.44
51,51,51,-0.0,N,-2147483648,2006-11-27,Piper Jaffray,Not Provided,5,outperform,3.85
52,52,52,-0.0,M,-2147483648,2006-11-17,Ryan Beck & Co,Not Provided,5,outperform,3.85
53,53,53,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
54,54,54,-0.0,M,-2147483648,2007-01-22,Piper Jaffray,Not Provided,5,outperform,4.74
55,55,55,-0.0,U,-2147483648,2006-12-26,EVA Dimensions,Not Provided,1,sell,-0.0
56,56,56,-0.0,R,-2147483648,2006-12-06,Janney Montgomery Scott LLC,12 month,5,buy,4.44
57,57,57,-0.0,M,-2147483648,2006-11-17,Ryan Beck & Co,Not Provided,5,outperform,3.85
58,58,58,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
59,59,59,-0.0,D,-2147483648,2007-02-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
60,60,60,-0.0,M,-2147483648,2007-02-02,Piper Jaffray,Not Provided,5,outperform,5.04
61,61,61,-0.0,U,-2147483648,2006-12-26,EVA Dimensions,Not Provided,1,sell,-0.0
62,62,62,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
63,63,63,-0.0,M,-2147483648,2007-03-26,EVA Dimensions,Not Provided,1,sell,-0.0
64,64,64,-0.0,D,-2147483648,2007-02-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
65,65,65,-0.0,M,-2147483648,2007-02-02,Piper Jaffray,Not Provided,5,outperform,5.04
66,66,66,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
67,67,67,-0.0,M,-2147483648,2007-04-26,Piper Jaffray,Not Provided,5,outperform,5.04
68,68,68,-0.0,N,-2147483648,2007-04-18,Stifel,Not Provided,3,hold,-0.0
69,69,69,-0.0,D,-2147483648,2007-02-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
70,70,70,-0.0,M,-2147483648,2005-11-20,Canaccord Genuity,Not Provided,5,buy,3.93
71,71,71,-0.0,M,-2147483648,2007-05-16,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
72,72,72,-0.0,M,-2147483648,2007-05-04,Canaccord Genuity,Not Provided,5,buy,3.93
73,73,73,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
74,74,74,-0.0,M,-2147483648,2007-05-03,Piper Jaffray,Not Provided,5,outperform,6.3
75,75,75,-0.0,M,-2147483648,2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
76,76,76,-0.0,M,-2147483648,2007-06-06,Piper Jaffray,Not Provided,5,outperform,6.3
77,77,77,-0.0,M,-2147483648,2007-05-16,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
78,78,78,-0.0,M,-2147483648,2007-05-04,Canaccord Genuity,Not Provided,5,buy,3.93
79,79,79,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
80,80,80,-0.0,M,-2147483648,2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
81,81,81,-0.0,M,-2147483648,2007-07-26,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
82,82,82,-0.0,D,-2147483648,2007-07-11,Canaccord Genuity,Not Provided,3,hold,-0.0
83,83,83,-0.0,M,-2147483648,2007-06-06,Piper Jaffray,Not Provided,5,outperform,6.3
84,84,84,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
85,85,85,-0.0,M,-2147483648,2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
86,86,86,-0.0,D,-2147483648,2007-08-09,Piper Jaffray,Not Provided,3,market perform,7.78
87,87,87,-0.0,M,-2147483648,2007-08-07,EVA Dimensions,Not Provided,1,sell,-0.0
88,88,88,-0.0,M,-2147483648,2007-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
89,89,89,-0.0,D,-2147483648,2007-07-11,Canaccord Genuity,Not Provided,3,hold,-0.0
90,90,90,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
91,91,91,-0.0,D,-2147483648,2007-08-09,Piper Jaffray,Not Provided,3,market perform,7.78
92,92,92,-0.0,M,-2147483648,2007-08-07,EVA Dimensions,Not Provided,1,sell,-0.0
93,93,93,-0.0,M,-2147483648,2007-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
94,94,94,-0.0,D,-2147483648,2007-07-11,Canaccord Genuity,Not Provided,3,hold,-0.0
95,95,95,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
96,96,96,-0.0,M,-2147483648,2007-10-04,EVA Dimensions,Not Provided,1,sell,-0.0
97,97,97,-0.0,U,-2147483648,2007-10-03,Piper Jaffray,Not Provided,5,outperform,8.22
98,98,98,-0.0,M,-2147483648,2007-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
99,99,99,-0.0,D,-2147483648,2007-07-11,Canaccord Genuity,Not Provided,3,hold,-0.0
100,100,100,-0.0,M,-2147483648,2007-05-03,Stifel,Not Provided,3,hold,-0.0
101,101,101,-0.0,M,-2147483648,2007-11-26,Canaccord Genuity,Not Provided,3,hold,7.78
102,102,102,-0.0,M,-2147483648,2007-11-16,Stifel,Not Provided,3,hold,-0.0
103,103,103,-0.0,M,-2147483648,2007-11-15,Piper Jaffray,Not Provided,5,outperform,9.56
104,104,104,-0.0,M,-2147483648,2007-10-04,EVA Dimensions,Not Provided,1,sell,-0.0
105,105,105,-0.0,M,-2147483648,2007-08-02,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.0
106,106,106,-0.0,M,-2147483648,2007-12-14,EVA Dimensions,Not Provided,1,sell,-0.0
107,107,107,-0.0,U,-2147483648,2007-12-07,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.0
108,108,108,-0.0,M,-2147483648,2007-11-26,Canaccord Genuity,Not Provided,3,hold,7.78
109,109,109,-0.0,M,-2147483648,2007-11-16,Stifel,Not Provided,3,hold,-0.0
110,110,110,-0.0,M,-2147483648,2007-11-15,Piper Jaffray,Not Provided,5,outperform,9.56
111,111,111,-0.0,M,-2147483648,2008-02-01,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.0
112,112,112,-0.0,M,-2147483648,2008-02-01,Stifel,Not Provided,3,hold,-0.0
113,113,113,-0.0,M,-2147483648,2008-01-31,Piper Jaffray,Not Provided,5,overweight,9.78
114,114,114,-0.0,M,-2147483648,2007-12-14,EVA Dimensions,Not Provided,1,sell,-0.0
115,115,115,-0.0,M,-2147483648,2007-11-26,Canaccord Genuity,Not Provided,3,hold,7.78
116,116,116,-0.0,M,-2147483648,2008-02-25,Canaccord Genuity,Not Provided,3,hold,9.33
117,117,117,-0.0,M,-2147483648,2008-02-01,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.0
118,118,118,-0.0,M,-2147483648,2008-02-01,Stifel,Not Provided,3,hold,-0.0
119,119,119,-0.0,M,-2147483648,2008-01-31,Piper Jaffray,Not Provided,5,overweight,9.78
120,120,120,-0.0,M,-2147483648,2007-12-14,EVA Dimensions,Not Provided,1,sell,-0.0
121,121,121,-0.0,M,-2147483648,2008-04-01,Stifel,Not Provided,3,hold,-0.0
122,122,122,-0.0,M,-2147483648,2008-03-26,EVA Dimensions,Not Provided,1,sell,-0.0
123,123,123,-0.0,U,-2147483648,2008-03-24,Canaccord Genuity,Not Provided,5,buy,10.0
