,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-27,"Burns, Gustus & Company",Not Provided,5,buy,-0.0
1,1,1,-0.0,R,-2147483648,2005-12-16,Morgan Keegan,Not Provided,5,outperform,-0.0
2,2,2,-0.0,M,-2147483648,2005-12-08,UBS,Not Provided,5,buy 2,40.77
3,3,3,-0.0,M,-2147483648,2005-12-07,Credit Suisse,12 month,5,outperform,36.15
4,4,4,-0.0,M,-2147483648,2005-12-07,"Capital One Securities, Inc.",12 month,5,buy,54.61
5,5,5,-0.0,M,-2147483648,2005-12-05,Bernstein,Not Provided,3,market perform,42.3
6,6,6,-0.0,M,-2147483648,2005-11-23,Barclays,Not Provided,5,overwt/positive,38.46
7,7,7,-0.0,U,-2147483648,2005-10-26,Jefferies,Not Provided,5,buy,38.46
8,8,8,-0.0,M,-2147483648,2005-10-25,Johnson Rice & Co,Not Provided,3,equalweight,-0.0
9,9,9,-0.0,M,-2147483648,2005-10-21,Raymond James,12 month,5,strong buy,40.77
10,10,10,-0.0,M,-2147483648,2005-10-21,FBR Capital Markets,12 month,5,outperform,46.15
11,11,11,-0.0,M,-2147483648,2005-10-21,Stanford Group,12 month,3,hold,26.92
12,12,12,-0.0,M,-2147483648,2005-10-20,BMO Capital Markets,Not Provided,5,outperform,39.23
13,13,13,-0.0,M,-2147483648,2005-10-20,Oppenheimer & Co,Not Provided,5,buy,-0.0
14,14,14,-0.0,M,-2147483648,2005-10-20,Prudential Equity Group Inc,Not Provided,5,overweight,38.46
15,15,15,-0.0,M,-2147483648,2005-10-19,RBC Capital Markets,Not Provided,5,outperform,36.15
16,16,16,-0.0,U,-2147483648,2005-10-04,J.P. Morgan,Not Provided,5,overweight,-0.0
17,17,17,-0.0,M,-2147483648,2005-09-21,EVA Dimensions,Not Provided,5,buy,-0.0
18,18,18,-0.0,M,-2147483648,2005-09-20,A.G. Edwards & Sons Inc,12 month,5,buy,40.77
19,19,19,-0.0,M,-2147483648,2005-09-12,KeyBanc Capital Markets,12 month,5,buy,36.15
20,20,20,-0.0,M,-2147483648,2005-09-09,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
21,21,21,-0.0,M,-2147483648,2005-07-15,Bear Stearns & Co,Not Provided,3,peerperform,27.69
22,22,22,-0.0,M,-2147483648,2005-06-29,Morgan Stanley,Not Provided,5,Overwt/In-Line,30.77
23,23,23,-0.0,M,-2147483648,2004-07-22,Aperion Group LLC,12 month,3,hold,17.02
24,24,24,-0.0,R,-2147483648,2006-02-01,FBR Capital Markets,12 month,5,outperform,50.0
25,25,25,-0.0,N,-2147483648,2006-02-01,Haitong,Not Provided,5,buy,50.0
26,26,26,-0.0,M,-2147483648,2006-02-01,Prudential Equity Group Inc,Not Provided,5,overweight,45.38
27,27,27,-0.0,M,-2147483648,2006-02-01,Barclays,Not Provided,5,overwt/neutral,46.92
