,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,D,-2147483648,2005-12-21,D.A. Davidson & Co,18 month,3,neutral,20.8,0.0
1,1,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,1.0
2,2,-0.0,D,-2147483648,2005-11-03,Credit Suisse,12 month,3,neutral,16.8,2.0
3,3,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,3.0
4,4,-0.0,D,-2147483648,2005-09-26,J.P. Morgan,Not Provided,3,neutral,-0.0,4.0
5,5,-0.0,D,-2147483648,2005-12-21,D.A. Davidson & Co,18 month,3,neutral,20.8,5.0
6,6,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,6.0
7,7,-0.0,D,-2147483648,2005-11-03,Credit Suisse,12 month,3,neutral,16.8,7.0
8,8,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,8.0
9,9,-0.0,D,-2147483648,2005-09-26,J.P. Morgan,Not Provided,3,neutral,-0.0,9.0
10,10,-0.0,M,-2147483648,2006-03-01,D.A. Davidson & Co,18 month,3,neutral,21.33,10.0
11,11,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,11.0
12,12,-0.0,D,-2147483648,2005-11-03,Credit Suisse,12 month,3,neutral,16.8,12.0
13,13,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,13.0
14,14,-0.0,D,-2147483648,2005-09-26,J.P. Morgan,Not Provided,3,neutral,-0.0,14.0
15,15,-0.0,M,-2147483648,2006-03-16,D.A. Davidson & Co,18 month,3,neutral,22.13,15.0
16,16,-0.0,M,-2147483648,2006-03-02,Credit Suisse,12 month,3,neutral,19.73,16.0
17,17,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,17.0
18,18,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,18.0
19,19,-0.0,D,-2147483648,2005-09-26,J.P. Morgan,Not Provided,3,neutral,-0.0,19.0
20,20,-0.0,M,-2147483648,2006-03-16,D.A. Davidson & Co,18 month,3,neutral,22.13,20.0
21,21,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,21.0
22,22,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,22.0
23,23,-0.0,D,-2147483648,2005-09-26,J.P. Morgan,Not Provided,3,neutral,-0.0,23.0
24,24,-0.0,M,-2147483648,2006-06-01,D.A. Davidson & Co,18 month,3,neutral,22.13,24.0
25,25,-0.0,M,-2147483648,2005-12-12,Davenport & Co,Not Provided,3,neutral,-0.0,25.0
26,26,-0.0,M,-2147483648,2005-10-03,Lehman Brothers,Not Provided,1,underwt/negative,-0.0,26.0
