,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-12-14,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,0.0
1,1,-0.0,R,-2147483648,2005-11-30,FBR Capital Markets,Not Provided,5,outperform,35.0,1.0
2,2,-0.0,U,-2147483648,2005-10-28,Raymond James,Not Provided,5,outperform,33.0,2.0
3,3,-0.0,M,-2147483648,2005-09-09,EVA Dimensions,Not Provided,3,hold,-0.0,3.0
4,4,-0.0,M,-2147483648,2005-08-03,Lehman Brothers,Not Provided,5,overwt/neutral,32.0,4.0
5,5,-0.0,R,-2147483648,2005-07-29,Credit Suisse,12 month,5,outperform,36.0,5.0
6,6,-0.0,M,-2147483648,2005-07-05,First Analysis Corp,Not Provided,5,overweight,-0.0,6.0
7,7,-0.0,M,-2147483648,2005-03-17,J.P. Morgan,12 month,5,overweight,42.0,7.0
8,8,-0.0,M,-2147483648,2006-01-30,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,8.0
9,9,-0.0,M,-2147483648,2006-01-24,EVA Dimensions,Not Provided,3,hold,-0.0,9.0
10,10,-0.0,R,-2147483648,2005-11-30,FBR Capital Markets,Not Provided,5,outperform,35.0,10.0
11,11,-0.0,U,-2147483648,2005-10-28,Raymond James,Not Provided,5,outperform,33.0,11.0
12,12,-0.0,M,-2147483648,2005-08-03,Lehman Brothers,Not Provided,5,overwt/neutral,32.0,12.0
13,13,-0.0,R,-2147483648,2005-07-29,Credit Suisse,12 month,5,outperform,36.0,13.0
14,14,-0.0,M,-2147483648,2005-07-05,First Analysis Corp,Not Provided,5,overweight,-0.0,14.0
15,15,-0.0,M,-2147483648,2005-03-17,J.P. Morgan,12 month,5,overweight,42.0,15.0
16,16,-0.0,N,-2147483648,2006-02-21,Argus Research Corp,Not Provided,3,hold,-0.0,16.0
17,17,-0.0,M,-2147483648,2006-02-15,Credit Suisse,12 month,5,outperform,40.0,17.0
18,18,-0.0,M,-2147483648,2006-02-15,Raymond James,Not Provided,5,outperform,38.0,18.0
19,19,-0.0,R,-2147483648,2006-02-14,FBR Capital Markets,Not Provided,5,outperform,38.0,19.0
20,20,-0.0,M,-2147483648,2006-02-14,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,20.0
21,21,-0.0,M,-2147483648,2006-02-06,Lehman Brothers,Not Provided,5,overwt/positive,37.0,21.0
