Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-0.4658
2006-06-30,-0.5948
2006-09-30,-0.5521
2006-12-31,-0.8592
2007-03-31,-1.4069
2007-06-30,-1.6028
2007-09-30,-3.3697
2007-12-31,-1.9906
2008-03-31,-3.6261
2008-06-30,-3.4337
2008-09-30,-0.5069
2008-12-31,-5.9986
2009-03-31,-4.4719
2009-06-30,-4.7121
2009-09-30,-3.8784
2009-12-31,-4.4925
2010-03-31,0.5661
2010-06-30,1.5576
2010-09-30,4.6177
2010-12-31,0.3813
2011-03-31,0.6813
2011-06-30,0.9295
2011-09-30,-4.5934
2011-12-31,-3.2098
2012-03-31,-0.0924
2012-06-30,-2.6903
2012-09-30,-2.0819
2012-12-31,1.4096
2013-03-31,1.3483
2013-06-30,0.1363
2013-09-30,-9.4571
2013-12-31,-0.0294
2014-03-31,0.2295
2014-06-30,-1.236
2014-09-30,-0.8012
2014-12-31,-0.8232
